Disease,Symptoms
Hyperthyroidism (overactive thyroid),Hyperthyroidism sometimes looks like other health problems That can make it hard to diagnose It can cause many symptoms including: Losing weight without trying Fast heartbeat a condition called tachycardia Irregular heartbeat also called arrhythmia Pounding of the heart sometimes called heart palpitations Increased hunger Nervousness anxiety and irritability Tremor usually a small trembling in the hands and fingers Sweating Changes in menstrual cycles Increased sensitivity to heat Changes in bowel patterns especially more-frequent bowel movements Enlarged thyroid gland sometimes called a goiter which may appear as a swelling at the base of the neck Tiredness Muscle weakness Sleep problems Warm moist skin Thinning skin Fine brittle hair Older adults are more likely to have symptoms that are hard to notice These symptoms may include an irregular heartbeat weight loss depression and feeling weak or tired during ordinary activities
Hypertrophic cardiomyopathy,Symptoms of hypertrophic cardiomyopathy can include one or more of the following: Chest pain especially during exercise Fainting especially during or just after exercise or other physical activity Sensation of fast fluttering or pounding heartbeats called palpitations Shortness of breath especially during exercise
Hypoglycemia,If blood sugar levels become too low hypoglycemia signs and symptoms can include: Looking pale Shakiness Sweating Headache Hunger or nausea An irregular or fast heartbeat Fatigue Irritability or anxiety Difficulty concentrating Dizziness or lightheadedness Tingling or numbness of the lips tongue or cheek As hypoglycemia worsens signs and symptoms can include: Confusion unusual behavior or both such as the inability to complete routine tasks Loss of coordination Slurred speech Blurry vision or tunnel vision Nightmares if asleep Severe hypoglycemia may cause: Unresponsiveness (loss of consciousness) Seizures
Hyponatremia,Hyponatremia signs and symptoms may include: Nausea and vomiting Headache Confusion Loss of energy drowsiness and fatigue Restlessness and irritability Muscle weakness spasms or cramps Seizures Coma
Hypoparathyroidism,Symptoms Signs and symptoms of hypoparathyroidism are usually related to low calcium levels in the blood Signs and symptoms can include: Tingling or burning in the fingertips toes and lips Muscle aches or cramps in the legs feet stomach or face Twitching or spasms of muscles particularly around the mouth but also in the hands arms and throat Fatigue or weakness Other signs and symptoms associated with hypoparathyroidism can include: Painful menstrual periods Patchy hair loss Dry coarse skin Brittle nails Depression or anxiety
Hypopituitarism,The symptoms of hypopituitarism usually start slowly and get worse over time They might not be noticed for months or even years But for some people symptoms start suddenly Symptoms of hypopituitarism vary from person to person Symptoms depend on what hormones are missing and how little of the hormone is being made There might be more than one hormone that's low A second hormone deficiency might increase the symptoms of the first one Or sometimes it might hide those symptoms
Hypoplastic left heart syndrome,Babies born with hypoplastic left heart syndrome usually are seriously ill soon after birth Symptoms include: Grayish-blue color of the lips and gums (cyanosis) Rapid difficult breathing Poor feeding Cold hands and feet Weak pulse Being unusually drowsy or inactive If the natural connections between the heart's left and right sides (foramen ovale and ductus arteriosus) are allowed to close in the first few days of life in babies with hypoplastic left heart syndrome they can go into shock and possibly die Signs of shock include: Cool clammy skin that can be pale or lips that can be bluish-gray A weak and rapid pulse Breathing that may be slow and shallow or very rapid Dull eyes that seem to stare A baby in shock might be conscious or unconscious
Hypospadias,In hypospadias the opening of the urethra is on the underside of the penis instead of at the tip In most cases the opening of the urethra is within the head of the penis Less often the opening is at the middle or the base of the penis Rarely the opening is in or beneath the scrotum Symptoms of hypospadias may include: Opening of the urethra at a place other than the tip of the penis Downward curve of the penis This condition is called chordee Hooded appearance of the penis because only the top half of the penis is covered by foreskin Differences in spraying when passing urine
Hypothermia,When the temperature starts to drop the body can start to shiver Shivering is the body's attempt to warm itself It is an automatic defense against cold temperature Symptoms of hypothermia include: Shivering Slurred speech or mumbling Slow shallow breathing Weak pulse Clumsiness or lack of coordination Drowsiness or very low energy Confusion or memory loss Loss of consciousness In infants bright red cold skin People with hypothermia usually aren't aware of their condition The symptoms often begin gradually Also the confused thinking associated with hypothermia prevents self-awareness The confused thinking also can lead to risk-taking behavior
Hypothyroidism (underactive thyroid),Thyroid gland Enlarge image Close Thyroid gland Thyroid gland The thyroid gland sits at the base of the neck The symptoms of hypothyroidism depend on the severity of the condition Problems tend to develop slowly often over several years At first you may barely notice the symptoms of hypothyroidism such as fatigue and weight gain Or you may think they are just part of getting older But as your metabolism continues to slow you may develop more-obvious problems Hypothyroidism symptoms may include: Tiredness More sensitivity to cold Constipation Dry skin Weight gain Puffy face Hoarse voice Coarse hair and skin Muscle weakness Muscle aches tenderness and stiffness Menstrual cycles that are heavier than usual or irregular Thinning hair Slowed heart rate also called bradycardia Depression Memory problems
Idiopathic hypersomnia,
IgA nephropathy (Berger disease),IgA nephropathy often doesn't cause symptoms early on You might not notice any health effects for 10 years or more Sometimes routine medical tests find signs of the disease such as protein and red blood cells in the urine that are seen under a microscope When IgA nephropathy causes symptoms they might include: Cola- or tea-colored urine caused by blood You might notice these color changes after a cold sore throat or respiratory infection Blood that can be seen in the urine Foamy urine from protein leaking into the urine This is called proteinuria Pain on one or both sides of the back below the ribs Swelling in the hands and feet called edema High blood pressure Weakness and tiredness If the disease leads to kidney failure symptoms may include: Rashes and itchy skin Muscle cramps Upset stomach and vomiting Less appetite Metallic taste in the mouth Confusion Kidney failure is life-threatening without treatment But dialysis or a kidney transplant can help people live for many more years
Illness anxiety disorder,Symptoms of illness anxiety disorder involve preoccupation with the idea that you're seriously ill based on normal body sensations (such as a noisy stomach) or minor signs (such as a minor rash) Signs and symptoms may include: Being preoccupied with having or getting a serious disease or health condition Worrying that minor symptoms or body sensations mean you have a serious illness Being easily alarmed about your health status Finding little or no reassurance from doctor visits or negative test results Worrying excessively about a specific medical condition or your risk of developing a medical condition because it runs in your family Having so much distress about possible illnesses that it's hard for you to function Repeatedly checking your body for signs of illness or disease Frequently making medical appointments for reassurance — or avoiding medical care for fear of being diagnosed with a serious illness Avoiding people places or activities for fear of health risks Constantly talking about your health and possible illnesses Frequently searching the internet for causes of symptoms or possible illnesses
Immune thrombocytopenia (ITP),Petechiae Enlarge image Close Petechiae Petechiae Bleeding into the skin looks like tiny reddish-purple spots also known as petechiae Petechiae might look like a rash Here they appear on a leg (A) and on the stomach area (B) Immune thrombocytopenia might not have symptoms When symptoms occur they might include: Easy bruising Bleeding into the skin that looks like tiny reddish-purple spots also known as petechiae The spots mostly show up on the lower legs They look like a rash Bleeding into the skin that's larger than petechiae also known as purpura Bleeding from the gums or nose Blood in urine or stools Really heavy menstrual flow
Impacted wisdom teeth,Impacted wisdom teeth don't always cause symptoms But when an impacted wisdom tooth becomes infected damages other teeth or causes other dental problems you may have some of these symptoms: Red or swollen gums Tender or bleeding gums Jaw pain Swelling around the jaw Bad breath An unpleasant taste in your mouth A hard time opening your mouth
Impetigo,Symptoms The main symptom of impetigo is reddish sores often around the nose and mouth The sores quickly rupture ooze for a few days and then form a honey-colored crust Sores can spread to other areas of the body through touch clothing and towels Itching and soreness are generally mild A less common form of the condition called bullous impetigo causes larger blisters on the trunk of infants and young children Ecthyma is a serious form of impetigo that causes painful fluid- or pus-filled sores
Incompetent cervix,With an incompetent cervix there may be no signs or symptoms during early pregnancy Some women have mild discomfort or spotting before the diagnosis Often this occurs before 24 weeks of pregnancy Be on the lookout for: A feeling of pelvic pressure A new backache Mild stomach cramps A change in vaginal discharge Light vaginal bleeding Request an appointment There is a problem with information submitted for this request Review/update the information highlighted below and resubmit the form Women’s health topics - straight to your inbox Get the latest information from our Mayo Clinic experts on women’s health topics serious and complex conditions wellness and more Click to view a preview and subscribe below Email Address 1 ErrorEmail field is required ErrorInclude a valid email address Learn more about Mayo Clinic’s use of data To provide you with the most relevant and helpful information and understand which information is beneficial we may combine your email and website usage information with other information we have about you If you are a Mayo Clinic patient this could include protected health information If we combine this information with your protected health information we will treat all of that information as protected health information and will only use or disclose that information as set forth in our notice of privacy practices You may opt out of email communications at any time by clicking on the unsubscribe link in the email Subscribe Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox Sorry something went wrong with your subscription Please try again in a couple of minutes Retry
Indigestion,If you have indigestion you may have: Early fullness during a meal You haven't eaten much of your meal but you already feel full and may not be able to finish eating Uncomfortable fullness after a meal The feeling of fullness lasts longer than it should Discomfort in the upper abdomen You feel a mild to severe pain in the area between the bottom of your breastbone and your bellybutton Burning in the upper abdomen You feel an uncomfortable heat or burning sensation between the bottom of your breastbone and your bellybutton Bloating in the upper abdomen You feel an uncomfortable sensation of tightness in your upper abdomen Nausea You feel as if you want to vomit Less frequent symptoms include vomiting and belching Sometimes people with indigestion also experience heartburn Heartburn is a pain or burning feeling in the center of your chest that may radiate into your neck or back during or after eating
Infant jaundice,Symptoms Yellowing of the skin and the whites of the eyes — the main sign of infant jaundice — usually appears between the second and fourth day after birth To check for infant jaundice press gently on your baby's forehead or nose If the skin looks yellow where you pressed it's likely your baby has mild jaundice If your baby doesn't have jaundice the skin color should simply look slightly lighter than its normal color for a moment Examine your baby in good lighting conditions preferably in natural daylight
Infant reflux,In most cases infant reflux isn't a cause for concern It's unusual for stomach contents to have enough acid to irritate the throat or esophagus and cause symptoms
Infectious diseases,Symptoms Each infectious disease has its own specific signs and symptoms General signs and symptoms common to a number of infectious diseases include: Fever Diarrhea Fatigue Muscle aches Coughing
Infertility,The main symptom of infertility is not getting pregnant There may be no other clear symptoms Some women with infertility may have irregular menstrual periods or no periods And some men may have some symptoms of hormonal problems such as changes in hair growth or sexual function Many couples eventually will conceive — with or without treatment
Inflammatory bowel disease (IBD),Inflammatory bowel disease symptoms vary depending on the severity of inflammation and where it occurs Symptoms may range from mild to severe You are likely to have periods of active illness followed by periods of remission Signs and symptoms that are common to both Crohn's disease and ulcerative colitis include: Diarrhea Fatigue Abdominal pain and cramping Blood in your stool Reduced appetite Unintended weight loss
Inflammatory breast cancer,Inflammatory breast cancer doesn't commonly form a lump as occurs with other forms of breast cancer Instead signs and symptoms of inflammatory breast cancer include: Fast change in the appearance of one breast over the course of several weeks Thickness heaviness or swelling of one breast Changes in skin color giving the breast a red purple pink or bruised appearance Unusual warmth of the affected breast Dimpling or ridges on the skin of the affected breast similar to an orange peel Tenderness pain or aching Enlarged lymph nodes under the arm above the collarbone or below the collarbone Flattened nipple or nipple that turns inward on the affected breast For inflammatory breast cancer to be diagnosed these symptoms must have been present for less than six months
Influenza (flu),At first the flu may seem like a cold with a runny nose sneezing and sore throat Colds usually start slowly But the flu tends to come on quickly And while a cold can be miserable you usually feel much worse with the flu Common symptoms of the flu often — but not always — include a fever as well as aching muscles chills and sweats Other symptoms include: Headache Dry persistent cough Shortness of breath Tiredness and weakness Runny or stuffy nose Sore throat Eye pain Vomiting and diarrhea also are flu symptoms But they are more common in children than in adults Related information COVID-19 vs flu: Similarities and differences - Related informationCOVID-19 vs flu: Similarities and differencesCOVID-19 cold allergies and the flu: What are the differences? - Related informationCOVID-19 cold allergies and the flu: What are the differences?
Ingrown hair,Signs and symptoms of ingrown hair include: Tiny swollen bumps where you shave tweeze or wax Small bumps that look like blisters or are filled with pus Small bumps that are darker than surrounding skin (hyperpigmentation) Burning or stinging Itching Hair in the shape of a loop because the tip of the hair curves and grows into the skin
Ingrown toenails,Symptoms Ingrown toenail symptoms include: Pain and tenderness Inflamed skin Swelling Infection
Inguinal hernia,Symptoms Inguinal hernia signs and symptoms include: A bulge in the area on either side of your pubic bone which becomes more obvious when you're upright especially if you cough or strain A burning or aching sensation at the bulge Pain or discomfort in your groin especially when bending over coughing or lifting A heavy or dragging sensation in your groin Weakness or pressure in your groin Occasionally pain and swelling around the testicles when the protruding intestine descends into the scrotum Signs and symptoms in children Inguinal hernias in newborns and children result from a weakness in the abdominal wall that's present at birth Sometimes the hernia will be visible only when an infant is crying coughing or straining during a bowel movement He or she might be irritable and have less appetite than usual In an older child a hernia is likely to be more apparent when the child coughs strains during a bowel movement or stands for a long period Signs of trouble If you aren't able to push the hernia in the contents of the hernia may be trapped (incarcerated) in the abdominal wall An incarcerated hernia can become strangulated which cuts off the blood flow to the tissue that's trapped A strangulated hernia can be life-threatening if it isn't treated Signs and symptoms of a strangulated hernia include: Nausea vomiting or both Fever Sudden pain that quickly intensifies A hernia bulge that turns red purple or dark Inability to move your bowels or pass gas
Inherited metabolic disorders,There are hundreds of inherited metabolic disorders caused by different genes Symptoms depend on the type of disorder and how severe it is Examples of inherited metabolic disorders include: Familial hypercholesterolemia Gaucher disease Hunter syndrome Krabbe disease Maple syrup urine disease Metachromatic leukodystrophy Mitochondrial encephalopathy lactic acidosis stroke-like episodes (MELAS) Niemann-Pick Phenylketonuria (PKU) Porphyria Tay-Sachs disease Wilson's disease
Insomnia,Insomnia symptoms may include: Having a hard time falling asleep at night Waking up during the night Waking up too early Feeling tired or sleepy during the day Feeling cranky depressed or anxious Having a hard time paying attention focusing on tasks or remembering Making more errors or having more accidents Having ongoing worries about sleep
Intermittent explosive disorder,Impulsive attacks and angry outbursts occur suddenly with little or no warning They usually last less than 30 minutes These bouts may occur often or be separated by weeks or months Verbal outbursts or less severe physical attacks may still occur in between these times You may be irritable impulsive aggressive or angry most of the time Before an aggressive bout you may feel: Rage Irritability More tension and energy Racing thoughts Tingling Shaking Fast or pounding heartbeat Chest tightness The explosive verbal and behavioral outbursts are much too intense for the situation with no thought about what might happen as a result The outbursts can include: Temper tantrums Long angry speeches Heated arguments Shouting Slapping shoving or pushing Physical fights Property damage Threatening or harming people or animals You may feel a sense of relief and tiredness after the outburst Later you may feel guilty sorry for your actions or embarrassed
Interstitial cystitis,Symptoms The signs and symptoms of interstitial cystitis vary from person to person If you have interstitial cystitis your symptoms may also vary over time periodically flaring in response to common triggers such as menstruation sitting for a long time stress exercise and sexual activity Interstitial cystitis signs and symptoms include: Pain in your pelvis or between the vagina and anus in women Pain between the scrotum and anus (perineum) in men Chronic pelvic pain A persistent urgent need to urinate Frequent urination often of small amounts throughout the day and night (up to 60 times a day) Pain or discomfort while the bladder fills and relief after urinating Pain during sex Symptoms severity is different for everyone and some people may experience symptom-free periods Although signs and symptoms of interstitial cystitis may resemble those of a chronic urinary tract infection there's usually no infection However symptoms may worsen if a person with interstitial cystitis gets a urinary tract infection
Interstitial lung disease,The primary signs and symptoms of interstitial lung disease are: Shortness of breath at rest or aggravated by exertion Dry cough When to see a doctor By the time symptoms appear irreversible lung damage has often already occurred Nevertheless it's important to see your doctor at the first sign of breathing problems Many conditions other than interstitial lung disease can affect your lungs and getting an early and accurate diagnosis is important for proper treatment Request an appointment There is a problem with information submitted for this request Review/update the information highlighted below and resubmit the form From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements health tips current health topics and expertise on managing health Click here for an email preview Email Address 1 ErrorEmail field is required ErrorInclude a valid email address Learn more about Mayo Clinic’s use of data To provide you with the most relevant and helpful information and understand which information is beneficial we may combine your email and website usage information with other information we have about you If you are a Mayo Clinic patient this could include protected health information If we combine this information with your protected health information we will treat all of that information as protected health information and will only use or disclose that information as set forth in our notice of privacy practices You may opt-out of email communications at any time by clicking on the unsubscribe link in the e-mail Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox Sorry something went wrong with your subscription Please try again in a couple of minutes Retry
Intestinal ischemia,Symptoms of intestinal ischemia can come on quickly When this happens the condition is called acute intestinal ischemia When symptoms come on slowly the condition is called chronic intestinal ischemia Symptoms may differ from person to person But certain symptoms suggest a diagnosis of intestinal ischemia
Intestinal obstruction,Symptoms Signs and symptoms of intestinal obstruction include: Crampy abdominal pain that comes and goes Loss of appetite Constipation Vomiting Inability to have a bowel movement or pass gas Swelling of the abdomen
Intracranial hematoma,Symptoms of an intracranial hematoma may develop right after a head injury or they may take weeks or longer to appear There may be a period of time without symptoms after a head injury This is called the lucid interval Over time pressure on the brain increases producing some or all of the following symptoms: Headache that gets worse Vomiting Drowsiness and gradual loss of consciousness Dizziness Confusion Pupils that are different sizes Slurred speech Loss of movement known as paralysis on the opposite side of the body from the head injury As more blood fills the brain or the narrow space between the brain and skull other symptoms may appear such as: Feeling very sleepy or sluggish Seizures Loss of consciousness
Intracranial venous malformations,
Intussusception,Symptoms Children The first sign of intussusception in an otherwise healthy infant may be sudden loud crying caused by belly pain Infants who have belly pain may pull their knees to their chests when they cry The pain of intussusception comes and goes usually every 15 to 20 minutes at first These painful episodes last longer and happen more often as time passes Other symptoms of intussusception include: Stool mixed with blood and mucus — sometimes referred to as currant jelly stool because of its appearance Vomiting A lump in the belly Weakness or lack of energy Diarrhea Not everyone has all of the symptoms Some infants have no obvious pain Some children don't pass blood or have a lump in the belly And some older children have pain but no other symptoms Adults Intussusception is rare in adults Also because symptoms of the disorder often overlap with the symptoms of other disorders it's more challenging to identify The most common symptom is belly pain that comes and goes Nausea and vomiting also may occur People sometimes have symptoms for weeks before seeking medical attention
Invasive lobular carcinoma,At first invasive lobular carcinoma may cause no signs and symptoms As it grows larger invasive lobular carcinoma may cause: A change in the texture or appearance of the skin over the breast such as dimpling or thickening A new area of fullness or swelling in the breast A newly inverted nipple An area of thickening in part of the breast Invasive lobular carcinoma is less likely to cause a firm or distinct breast lump than other types of breast cancer
Iritis,Iritis can occur in one or both eyes It usually develops suddenly and can last up to three months Signs and symptoms of iritis include: Eye redness Discomfort or achiness in the affected eye Sensitivity to light Decreased vision Iritis that develops suddenly over hours or days is known as acute iritis Symptoms that develop gradually or last longer than three months indicate chronic iritis
Iron deficiency anemia,Symptoms Initially iron deficiency anemia can be so mild that it goes unnoticed But as the body becomes more deficient in iron and anemia worsens the signs and symptoms intensify Iron deficiency anemia signs and symptoms may include: Extreme fatigue Weakness Pale skin Chest pain fast heartbeat or shortness of breath Headache dizziness or lightheadedness Cold hands and feet Inflammation or soreness of your tongue Brittle nails Unusual cravings for non-nutritive substances such as ice dirt or starch Poor appetite especially in infants and children with iron deficiency anemia
Irritable bowel syndrome,Symptoms of IBS vary but are usually present for a long time The most common include: Abdominal pain cramping or bloating that is related to passing a bowel movement Changes in appearance of bowel movement Changes in how often you are having a bowel movement Other symptoms that are often related include sensation of incomplete evacuation and increased gas or mucus in the stool Video: How irritable bowel syndrome affects you Show transcript for video Video: How irritable bowel syndrome affects you IBS is a functional disorder Even though the digestive tract looks normal it doesn't function as it should Muscles in the intestines move food from the stomach to the rectum Normally they contract and relax in a gentle rhythm that moves the food along in a fairly predictable schedule But with some people the muscles in the intestines spasm That means the contractions are longer and stronger than normal Those spasms are painful They also disrupt the movement of food through the intestines If they slow it down you become constipated If they cause it to move through too quickly you get diarrhea It's not unusual for people to alternate between the two Another cause of discomfort for people with IBS results from oversensitive nerve endings in the digestive tract Small bubbles of gas that wouldn't bother most people might be quite painful for you Your heightened sensitivity can also lead to swelling and bloating
Ischemic colitis,Symptoms of ischemic colitis can include: Pain tenderness or cramping in your belly which can occur suddenly or happen over time Bright red or maroon blood in your stool or at times passage of blood alone without stool A feeling of urgency to move your bowels Diarrhea Nausea The risk of severe complications is higher when you have symptoms on the right side of your belly This is less commonly seen compared with left-sided colitis People with right-sided colitis tend to have more underlying medical problems such as high blood pressure atrial fibrillation and kidney disease They more frequently have to undergo surgery and also have a higher risk of death
Itchy skin (pruritus),Itchy skin can affect small areas such as the scalp an arm or a leg Or it can cover the whole body Itchy skin can occur without any other noticeable changes on the skin Or it may come with: Inflamed skin Scratch marks Bumps spots or blisters Dry cracked skin Leathery or scaly patches Sometimes itchiness lasts a long time and can be intense As you rub or scratch the area it gets itchier And the more it itches the more you scratch Breaking this itch-scratch cycle can be difficult
Jaw tumors and cysts,A tumor is an abnormal growth or mass of tissue A cyst is a lesion that contains liquid or semisolid material Examples of jaw tumors and cysts include: Ameloblastoma This rare usually noncancerous (benign) tumor begins in the cells that form the protective enamel lining on the teeth It develops most often in the jaw near the molars The most common type is aggressive forming large tumors and growing into the jawbone Although this tumor can recur after treatment aggressive surgical treatment will typically reduce the chance of recurrence Central giant cell granuloma Central giant cell granulomas are benign lesions that grow from bone cells They most often occur in the front portion of the lower jaw One type of these tumors can grow rapidly cause pain and destroy bone and has a tendency to recur after surgical treatment The other type is less aggressive and may not have symptoms Rarely a tumor may shrink or resolve on its own but typically these tumors require surgical treatment Dentigerous cyst This cyst originates from tissue that surrounds a tooth before it erupts into the mouth This is the most common form of cyst that affects the jaws Most often these cysts will occur around wisdom teeth that are not fully erupted but they can also involve other teeth Odontogenic keratocyst This cyst is also referred to as a keratocystic odontogenic tumor because of its tumorlike tendency to recur after surgical treatment Although this cyst is typically slow growing it can still be destructive to the jaw and teeth if left untreated over a long period of time Most often the cyst develops in the lower jaw near the third molars These cysts may also be found in people with an inherited condition called nevoid basal cell carcinoma syndrome Odontogenic myxoma This is a rare slow-growing benign tumor that occurs most often in the lower jaw The tumor can be large and aggressively invade the jaw and surrounding tissue and displace teeth Odontogenic myxomas are known to recur after surgical treatment; however the chances of tumor recurrence are typically lessened by more-aggressive forms of surgical treatment Odontoma This benign tumor is the most common odontogenic tumor Odontomas often have no symptoms but they may interfere with tooth development or eruption Odontomas are made up of dental tissue that grows around a tooth in the jaw They can resemble an oddly shaped tooth or can be a small or large calcified tumor These tumors may be part of some genetic syndromes Other types of cysts and tumors These include adenomatoid odontogenic tumor calcifying epithelial odontogenic tumor glandular odontogenic cyst squamous odontogenic tumor calcifying odontogenic cyst cementoblastoma aneurysmal bone cyst ossifying fibroma osteoblastoma central odontogenic fibroma and others
Jellyfish stings,"Symptoms of jellyfish stings include: Burning prickling stinging pain Welts or tracks on the skin — a ""print"" of the tentacles' contact with the skin Itchiness (pruritus) Swelling Throbbing pain that radiates up a leg or an arm Severe jellyfish stings can affect multiple body systems These reactions may appear rapidly or several hours after the stings Symptoms of severe jellyfish stings include: Stomach pain nausea and vomiting Headache Muscle pain or spasms Faintness dizziness or confusion Difficulty breathing Heart problems The severity of a reaction depends on: The type and size of the jellyfish The age size and health of the person affected with severe reactions more likely in children How long the person was exposed to the stingers How much of the skin is affected"
Jet lag disorder,Symptoms of jet lag can vary You may experience only one symptom or you may have many Jet lag symptoms may include: Sleep problems such as not being able to fall asleep or waking up early Daytime fatigue Not being able to focus or function at your usual level Stomach problems such as constipation or diarrhea A general feeling of not being well Mood changes
Jock itch,Symptoms of jock itch are: A spreading rash that begins in the crease of the groin and moves down the upper thigh and buttocks A rash whose center tends to clear as the rash spreads A rash that may be full or partially ring shaped A rash bordered with small blisters Itchiness Scaly skin A rash that might be red brown purple or gray depending on your skin color
Juvenile idiopathic arthritis,The most common signs and symptoms of juvenile idiopathic arthritis are: Pain While your child might not complain of joint pain you may notice that he or she limps — especially first thing in the morning or after a nap Swelling Joint swelling is common but is often first noticed in larger joints such as the knee Stiffness You might notice that your child appears clumsier than usual particularly in the morning or after naps Fever swollen lymph nodes and rash In some cases high fever swollen lymph nodes or a rash on the trunk may occur — which is usually worse in the evenings Juvenile idiopathic arthritis can affect one joint or many There are several different subtypes of juvenile idiopathic arthritis but the main ones are systemic oligoarticular and polyarticular Which type your child has depends on symptoms the number of joints affected and if a fever and rashes are prominent features Like other forms of arthritis juvenile idiopathic arthritis is characterized by times when symptoms flare up and times when symptoms may be minimal
Kaposi sarcoma,
Kawasaki disease,Symptoms of Kawasaki disease include a fever greater than 1022 degrees Fahrenheit (39 degrees Celsius) for five or more days And the child has at least four of the following symptoms A rash on the main part of the body or in the genital area An enlarged lymph node in the neck Very red eyes without a thick discharge Red dry cracked lips and a red swollen tongue Swollen red skin on the palms of the hands and the soles of the feet Later the skin on fingers and toes peels The symptoms might not happen at the same time Let your child's healthcare professional know about a symptom that has gone away Other symptoms might include: Belly pain Diarrhea Fussiness Joint pain Vomiting Some children get a high fever for five or more days but have fewer than four of the symptoms needed for a diagnosis of Kawasaki disease They might have what's called incomplete Kawasaki disease Children with incomplete Kawasaki disease are still at risk of damage to the heart arteries They still need treatment within 10 days of when symptoms appear Kawasaki disease can have symptoms like those of a condition called multisystem inflammatory syndrome in children The syndrome happens in children with COVID-19
Keloid scar,A keloid scar may form within months to years of the inciting injury Signs and symptoms might include: Thick irregular scarring typically on the earlobes shoulders cheeks or middle chest Shiny hairless lumpy raised skin Varied size depending on the size of the original injury and when the keloid stops growing Varied texture from soft to firm and rubbery Reddish brown or purplish depending on your skin color Itchiness Discomfort
Keratitis,Symptoms of keratitis include: Eye redness Eye pain Excess tears or other discharge from your eye Difficulty opening your eyelid because of pain or irritation Blurred vision Decreased vision Sensitivity to light called photophobia A feeling that something is in your eye
Keratoconus,Symptoms of keratoconus may change as the disease progresses They include: Blurred or distorted vision Increased sensitivity to bright light and glare which can cause problems with night driving A need for frequent changes in eyeglass prescriptions Sudden worsening or clouding of vision
Keratosis pilaris,Keratosis pilaris can occur at any age but it's more common in young children Symptoms include: Painless tiny bumps on the upper arms thighs cheeks or buttocks Dry rough skin in the areas with bumps Worsening when seasonal changes cause low humidity and dry skin Sandpaper-like bumps resembling goose flesh
Kidney cancer,Kidney cancer doesn't usually cause symptoms at first In time signs and symptoms may develop including: Blood in the urine which may appear pink red or cola colored Loss of appetite Pain in the side or back that doesn't go away Tiredness Unexplained weight loss
Kidney cysts,Simple kidney cysts typically don't cause symptoms But if a simple kidney cyst grows large enough symptoms may include: Dull pain in the back or side Fever Upper stomach pain
Kidney infection,Symptoms of a kidney infection might include: Fever Chills A burning feeling or pain when urinating Having to urinate often A strong lasting urge to urinate Back side or groin pain Nausea and vomiting Pus or blood in the urine Urine that smells bad or is cloudy Belly pain
Kidney stones,Kidney stones Enlarge image Close Kidney stones Kidney stones Kidney stones form in your kidneys As stones move into your ureters — the thin tubes that allow urine to pass from your kidneys to your bladder — signs and symptoms can result Signs and symptoms of kidney stones can include severe pain nausea vomiting fever chills and blood in your urine A kidney stone usually will not cause symptoms until it moves around within the kidney or passes into one of the ureters The ureters are the tubes that connect the kidneys and bladder If a kidney stone becomes lodged in the ureters it may block the flow of urine and cause the kidney to swell and the ureter to spasm which can be very painful At that point you may experience these symptoms: Severe sharp pain in the side and back below the ribs Pain that radiates to the lower abdomen and groin Pain that comes in waves and fluctuates in intensity Pain or burning sensation while urinating Other signs and symptoms may include: Pink red or brown urine Cloudy or foul-smelling urine A persistent need to urinate urinating more often than usual or urinating in small amounts Nausea and vomiting Fever and chills if an infection is present Pain caused by a kidney stone may change — for instance shifting to a different location or increasing in intensity — as the stone moves through your urinary tract
Kleptomania,Kleptomania symptoms may include: Inability to resist powerful urges to steal items that you don't need Feeling increased tension anxiety or arousal leading up to the theft Feeling pleasure relief or satisfaction while stealing Feeling terrible guilt remorse self-loathing shame or fear of arrest after the theft Return of the urges and a repetition of the kleptomania cycle
Klinefelter syndrome,Signs and symptoms of Klinefelter syndrome vary widely among males with the disorder Many boys with Klinefelter syndrome show few or only mild signs The condition may go undiagnosed until adulthood or it may never be diagnosed For others the condition has a noticeable effect on growth or appearance Signs and symptoms of Klinefelter syndrome also vary by age
Klippel-Trenaunay syndrome,People who have KTS may have the following features which can range from mild to more extensive: Port-wine stain This pink to reddish-purple birthmark is caused by extra tiny blood vessels (capillaries) in the top layer of skin The birthmark often covers part of one leg but can involve any portion of the skin It may get darker or lighter with age Vein malformations These include swollen twisted veins (varicose veins) usually on the surface of the legs Deeper malformed veins in the arms legs abdomen and pelvis also can occur There may be spongy tissue filled with small veins in or under the skin Malformed veins may become more prominent with age Overgrowth of bones and soft tissue This begins in infancy and may be limited to one leg but it can occur in an arm or rarely in the trunk or face This overgrowth of bone and tissue creates a larger and longer extremity Rarely there may be fusion of fingers or toes or extra fingers or toes Lymphatic system malformations The lymphatic system — part of the immune system that protects against infection and disease and transports lymphatic fluid — can be malformed Extra lymphatic vessels can be present that don't work properly and can lead to fluid leakage into the tissues and swelling Other conditions KTS can also include cataracts glaucoma hip dislocation at birth purple-red skin coloring when cold and blood-clotting problems
Knee bursitis,Knee bursitis symptoms vary They depend on which bursa is affected and what's causing the inflammation The affected portion of your knee might feel warm tender and swollen You also might feel pain when you move or when you're at rest A direct blow to the knee can cause symptoms to come on fast But knee bursitis often stems from friction and irritation of the bursae This can occur with jobs that require a lot of kneeling on hard surfaces So the symptoms can start slowly and become worse over time
